Codigo,Descricao,StatusConserto
1140,PISTOLA TORNADOR 2,Disponivel
1141,CARREGADOR DE NOTBOOK I,Disponivel
1142,CARREGADOR DE NOTBOOK II,Disponivel
1143,SACADOR DE BICO 9998140,Disponivel
1144,SACADOR DE BICO 9996419,Disponivel
1145,CHAVE COMBINADA CATRACA 22MM,Disponivel
1146,GRAXIEIRA MANUAL 2,Disponivel
1147,MANDRIL SACADOR DE UNIDADE INJETOR 9998254,Disponivel
1148,BASE PARA MACHO 9998252,Disponivel
1149,EXTRATOR CAMISA BICO 9809740 2,Disponivel
1150,APLICADOR CAMISA BICO 88800108,Disponivel
1151,EXTRATOR CAMISA BICO 9809740 2,Disponivel
1152,KIT DESMONTAGEM RETARDER,Disponivel
1153,TESTE DE SISTEMA EGS,Disponivel
1154,CILINDRO HIDRAULICO 9992671,Disponivel
1155,SERRA ESQUADRIA MANUAL,Disponivel
1156,"PARAFUSADEIRA 14,4 BATERIA LI BOSH - PERDIDA",Disponivel
1157,PARAFUSADEIRA BOSCH 18V 20 Ah (PARA SOCORRO),Disponivel
1158,"PARAFUSADEIRA 14,4 BATERIA LI BOSH",Disponivel
1159,"SOQUETE SEXTAVADO 75 1""",Disponivel
1160,"SOQUETE SEXTAVADO 80 1""- 1",Disponivel
1161,"SOQUETE SEXTAVADO 80 1""- 2",Disponivel
1162,"SOQUETE SEXTAVADO 80 1""- 3",Disponivel
1163,"SOQUETE SEXTAVADO 70 1""",Disponivel
1164,"SOQUETE ESTRIADO 65 1""- 1",Disponivel
1165,"SOQUETE ESTRIADO 65 1""- 2",Disponivel
1166,"SOQUETE ESTRIADO 80 1""",Disponivel
1167,"SOQUETE SEXTAVADO 1"" 3/4 1""",Disponivel
1168,"SOQUETE ESTRIADO 70 1""",Disponivel
1169,"SOQUETE ESTRIADO 60 1""- 1",Disponivel
1170,"SOQUETE ESTRIADO 60 1""- 2",Disponivel
1171,SOQUETE SACADOR SCANIA 1,Disponivel
1172,SOQUETE SACADOR SCANIA 2,Disponivel
1173,SOQUETE SACADOR SCANIA 3,Disponivel
1174,"SOQUETE SEXTAVADO 65 1""",Disponivel
1175,"SOQUETE ESTRIADO 55 1""- 1",Disponivel
1176,"SOQUETE ESTRIADO 55 1""- 2",Disponivel
1177,JG VAZADOR 1,Disponivel
1178,JG VAZADOR 2,Disponivel
1179,JG VAZADOR 3,Disponivel
1180,SOQUETE SACAR CANO BICO INJETOR SCANIA 360 K124- 1,Disponivel
1181,SOQUETE SACAR CANO BICO INJETOR SCANIA 360 K124- 2,Disponivel
1182,SOQUETE SACAR CANO BICO INJETOR SCANIA 360 K124- 3,Disponivel
1183,SACADOR BICO INJETOR VOLVO 9996582- 1,Disponivel
1184,SACADOR BICO INJETOR VOLVO 9996582- 2,Disponivel
1185,EXTRATOR BICO INJETOR VOLVO 99985532,Disponivel
1186,GARRA PORCA PORTA INJETOR RAVEN 07001- 1,Disponivel
1187,GARRA PORCA PORTA INJETOR RAVEN 07001- 2,Disponivel
1188,GARRA PORCA PORTA INJETOR RAVEN 07001- 3,Disponivel
1189,EXTRATOR PARA PORTA INJETOR RAVEN 01017- 1,Disponivel
1190,EXTRATOR PARA PORTA INJETOR RAVEN 01017- 2,Disponivel
1191,SACADOR UNIDADE INJETORA VOLVO 9990006,Disponivel
1192,FRESA SCANIA,Disponivel
1193,MACHO SACADOR 9998134,Disponivel
1194,VIRADO DE MACHO Nº2,Disponivel
1195,VIRADO DE MACHO Nº3,Disponivel
1196,VIRADO DE MACHO Nº3,Disponivel
1197,VIRADO DE MACHO Nº5,Disponivel
1198,VIRADO DE TARRAXA MACHO Nº4,Disponivel
1199,VIRADO DE TARRAXA MACHO1 1/2 VERMELHO,Disponivel
1200,FERRO SOLDA GAS 3 EM 1,Disponivel
